Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
1.895000E-8	-1.759714E-2
1.900000E-8	-1.738130E-2
1.905000E-8	-1.717404E-2
1.910000E-8	-1.699932E-2
1.915000E-8	-1.686057E-2
1.920000E-8	-1.677149E-2
1.925000E-8	-1.669270E-2
1.930000E-8	-1.664645E-2
1.935000E-8	-1.662075E-2
1.940000E-8	-1.660876E-2
1.945000E-8	-1.660362E-2
1.950000E-8	-1.664987E-2
1.955000E-8	-1.675265E-2
1.960000E-8	-1.685714E-2
1.965000E-8	-1.700788E-2
1.970000E-8	-1.715348E-2
1.975000E-8	-1.726825E-2
1.980000E-8	-1.737445E-2
1.985000E-8	-1.750635E-2
1.990000E-8	-1.765366E-2
1.995000E-8	-1.782325E-2
2.000000E-8	-1.800482E-2
2.005000E-8	-1.814014E-2
2.010000E-8	-1.831486E-2
2.015000E-8	-1.846218E-2
2.020000E-8	-1.860092E-2
2.025000E-8	-1.872083E-2
2.030000E-8	-1.883902E-2
2.035000E-8	-1.892981E-2
2.040000E-8	-1.895379E-2
2.045000E-8	-1.896064E-2
2.050000E-8	-1.895379E-2
2.055000E-8	-1.890240E-2
2.060000E-8	-1.882875E-2
2.065000E-8	-1.873111E-2
2.070000E-8	-1.858208E-2
2.075000E-8	-1.840907E-2
2.080000E-8	-1.827033E-2
2.085000E-8	-1.805792E-2
2.090000E-8	-1.778727E-2
2.095000E-8	-1.756630E-2
2.100000E-8	-1.733848E-2
2.105000E-8	-1.707811E-2
2.110000E-8	-1.686399E-2
2.115000E-8	-1.666187E-2
2.120000E-8	-1.647858E-2
2.125000E-8	-1.633298E-2
2.130000E-8	-1.623534E-2
2.135000E-8	-1.615141E-2
2.140000E-8	-1.607775E-2
2.145000E-8	-1.601608E-2
2.150000E-8	-1.597326E-2
2.155000E-8	-1.594585E-2
2.160000E-8	-1.592358E-2
2.165000E-8	-1.592530E-2
2.170000E-8	-1.594414E-2
2.175000E-8	-1.596127E-2
2.180000E-8	-1.593900E-2
2.185000E-8	-1.589275E-2
2.190000E-8	-1.587733E-2
2.195000E-8	-1.588932E-2
2.200000E-8	-1.590817E-2
